"","fullname","playerID","yearID","teamID","lgID","salary","percent_positive_ab","percent_NAB","PA","salary_per_NAB","salary_per_Good_AB","diff_salary_good_vs_bad","fit.cluster","team_payroll","total_salary_NAB","total_salary_GAB","W","diff_payroll"
"32","Jose   Abreu","abreujo02",2016,"CHA","AL",11666667,0.371794871794872,0.207977207977208,702,2426400.82905983,4337606.96153846,1911206.13247863,2,57425667,12224210.4798003,19426066.7378325,78,7201856.25803229
"33","Jose   Abreu","abreujo02",2015,"CHA","AL",8666000,0.359351988217968,0.229749631811487,679,1991010.30927835,3114144.32989691,1123134.02061856,2,52790000,11225516.7261434,16752987.1153779,76,5527470.38923449
"34","Tony   Abreu","abreuto01",2013,"SFN","NL",498000,0.312925170068027,0.258503401360544,147,128734.693877551,155836.734693878,27102.0408163265,1,48253667,7521273.72368339,17076237.515957,76,9554963.79227362
"35","Tony   Abreu","abreuto01",2010,"ARI","NL",407000,0.263681592039801,0.27363184079602,201,111368.15920398,107318.407960199,-4049.75124378108,1,26805166,6441882.32774034,9378325.0632645,65,2936442.73552416
"36","Dustin   Ackley","ackledu01",2015,"SEA","AL",2600000,0.284313725490196,0.200980392156863,204,522549.019607843,739215.68627451,216666.666666667,1,63335400,13919448.112407,21707006.7617665,76,7787558.64935949
"37","Dustin   Ackley","ackledu01",2012,"SEA","AL",2100000,0.302670623145401,0.188427299703264,674,395697.329376855,635608.308605341,239910.979228487,1,45446400,8920401.78863535,13353421.8627696,75,4433020.07413425
"38","Dustin   Ackley","ackledu01",2014,"SEA","AL",1700000,0.298148148148148,0.185185185185185,540,314814.814814815,506851.851851852,192037.037037037,1,48741800,9062283.23157354,16974221.2428517,87,7911938.01127812
"39","Dustin   Ackley","ackledu01",2013,"SEA","AL",2700000,0.32311320754717,0.183962264150943,424,496698.113207547,872405.660377359,375707.547169811,5,32802800,8665941.17372142,9820005.0344787,71,1154063.86075727
"40","Cristhian   Adames","adamecr01",2016,"COL","NL",509500,0.304347826086957,0.205533596837945,253,104719.367588933,155065.217391304,50345.8498023715,1,48803071,10608875.4701434,17003183.840378,75,6394308.37023465
"41","David   Adams","adamsda02",2013,"NYA","AL",540000,0.251655629139073,0.311258278145695,151,168079.470198675,135894.039735099,-32185.4304635762,1,109481257,24701809.2849371,36397688.724476,85,11695879.4395389
